name,description,price,stock,category_id
Bed Frame,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",39012,15,2
Cabinet,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,22880,5,1
Coffee Table,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,46638,24,4
Wood Lamp,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",5285,41,2
Bench,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",26256,32,5
Drawer,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",34902,44,5
Wall Decor,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",31963,12,2
Wood Chair,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,39820,8,4
Dining Table,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,11733,27,4
Wood Shelf,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.,44032,35,1
Bed Frame,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,28574,32,4
Cabinet,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",48489,44,4
Coffee Table,Nunc rhoncus dui vel sem.,43221,9,4
Wood Lamp,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,8681,8,1
Bench,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,3330,20,5
Drawer,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",25076,16,1
Wall Decor,Nunc nisl.,42618,23,2
Wood Chair,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",10904,1,3
Dining Table,Curabitur in libero ut massa volutpat convallis.,4146,29,1
Wood Shelf,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",5875,27,4
Bed Frame,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",41811,21,1
Cabinet,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",41022,42,2
Coffee Table,Donec ut dolor.,1035,32,4
Wood Lamp,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,31751,47,3
Bench,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",27729,5,2
Drawer,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",8736,7,3
Wall Decor,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.,46604,8,4
Wood Chair,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",26784,26,5
Dining Table,Suspendisse accumsan tortor quis turpis. Sed ante.,47809,15,1
Wood Shelf,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,27696,27,2
Bed Frame,Curabitur at ipsum ac tellus semper interdum.,34825,42,2
Cabinet,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",44086,30,3
Coffee Table,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",23501,33,1
Wood Lamp,Vivamus tortor. Duis mattis egestas metus.,46604,20,2
Bench,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,24916,50,2
Drawer,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,10166,33,3
Wall Decor,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",27914,32,4
Wood Chair,Fusce consequat. Nulla nisl. Nunc nisl.,35625,2,4
Dining Table,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",38165,26,3
Wood Shelf,In quis justo.,5905,49,4
Bed Frame,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",27825,36,5
Cabinet,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",31741,20,3
Coffee Table,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,43089,32,4
Wood Lamp,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",32965,14,2
Bench,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",17002,4,2
Drawer,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,16230,32,3
Wall Decor,"Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",17185,22,2
Wood Chair,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",31090,5,5
Dining Table,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,24555,19,3
Wood Shelf,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",37945,3,1
Bed Frame,Cras non velit nec nisi vulputate nonummy.,33739,11,5
Cabinet,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",14286,1,2
Coffee Table,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",10144,7,2
Wood Lamp,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,30566,28,2
Bench,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",43858,45,3
Drawer,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,9226,42,3
Wall Decor,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,26894,34,3
Wood Chair,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",19237,39,4
Dining Table,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",39403,3,5
Wood Shelf,In blandit ultrices enim.,43269,34,2
Bed Frame,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",21043,12,5
Cabinet,Integer ac leo. Pellentesque ultrices mattis odio.,43888,11,3
Coffee Table,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",7072,22,4
Wood Lamp,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",4786,41,5
Bench,Nulla suscipit ligula in lacus.,17822,7,4
Drawer,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,43945,4,1
Wall Decor,In hac habitasse platea dictumst.,11097,1,5
Wood Chair,Nulla ut erat id mauris vulputate elementum. Nullam varius.,41490,39,2
Dining Table,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.,12076,25,2
Wood Shelf,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,28993,28,5
Bed Frame,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",23967,47,1
Cabinet,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,4949,30,4
Coffee Table,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,34541,38,5
Wood Lamp,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,9924,24,1
Bench,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",1417,33,2
Drawer,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",19637,7,1
Wall Decor,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",31780,4,5
Wood Chair,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,13142,34,2
Dining Table,Proin eu mi. Nulla ac enim.,39469,11,3
Wood Shelf,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",7121,33,2
Bed Frame,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",16850,40,3
Cabinet,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,1495,19,1
Coffee Table,Proin risus. Praesent lectus.,23148,41,3
Wood Lamp,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",32569,50,2
Bench,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",13273,40,4
Drawer,Proin risus.,20953,48,2
Wall Decor,Phasellus in felis. Donec semper sapien a libero.,2429,14,4
Wood Chair,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",12489,24,2
Dining Table,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,2475,26,5
Wood Shelf,Fusce posuere felis sed lacus.,47196,2,2
Bed Frame,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",23361,49,3
Cabinet,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",41696,13,4
Coffee Table,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,21834,46,5
Wood Lamp,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,20606,5,3
Bench,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,28338,3,2
Drawer,Integer tincidunt ante vel ipsum.,36734,26,2
Wall Decor,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",17707,42,3
Wood Chair,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,26190,6,5
Dining Table,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",20201,30,1
Wood Shelf,Nunc purus.,4005,14,4
Bed Frame,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,44765,15,2
Cabinet,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1185,47,4
Coffee Table,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,26697,26,2
Wood Lamp,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",41527,40,5
Bench,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,20185,48,4
Drawer,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",44999,17,4
Wall Decor,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",41561,1,3
Wood Chair,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",48854,5,5
Dining Table,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,23283,40,3
Wood Shelf,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,2814,40,5
Bed Frame,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",2498,47,1
Cabinet,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",31266,30,2
Coffee Table,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,27914,33,4
Wood Lamp,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",11782,14,3
Bench,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",17525,16,1
Drawer,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",10946,1,2
Wall Decor,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",8731,12,5
Wood Chair,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",40918,22,1
Dining Table,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",28388,11,3
Wood Shelf,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,19791,45,1
Bed Frame,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,22149,38,4
Cabinet,Aenean sit amet justo.,3632,48,3
Coffee Table,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",15514,15,2
Wood Lamp,"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",29253,20,5
Bench,Maecenas ut massa quis augue luctus tincidunt.,19953,32,2
Drawer,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",27040,32,1
Wall Decor,Ut tellus. Nulla ut erat id mauris vulputate elementum.,28177,40,5
Wood Chair,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,31785,34,1
Dining Table,Sed sagittis.,863,18,1
Wood Shelf,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",10227,8,3
Bed Frame,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,42396,35,3
Cabinet,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,37925,9,5
Coffee Table,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",3389,39,5
Wood Lamp,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",31503,34,4
Bench,Aliquam sit amet diam in magna bibendum imperdiet.,23959,21,1
Drawer,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",45049,17,5
Wall Decor,Nulla mollis molestie lorem. Quisque ut erat.,19766,39,2
Wood Chair,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",19506,39,3
Dining Table,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,14236,14,3
Wood Shelf,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",13066,8,1
Bed Frame,Nunc purus. Phasellus in felis.,9819,6,4
Cabinet,Aliquam quis turpis eget elit sodales scelerisque.,22003,46,5
Coffee Table,In blandit ultrices enim.,8468,17,5
Wood Lamp,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",11196,46,1
Bench,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,36154,5,4
Drawer,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",39278,41,1
Wall Decor,Mauris sit amet eros.,29021,46,2
Wood Chair,Nullam varius.,48567,22,3
Dining Table,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",25517,3,2
Wood Shelf,Proin eu mi. Nulla ac enim.,22591,43,5
Bed Frame,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",48126,31,4
Cabinet,Proin interdum mauris non ligula pellentesque ultrices.,37221,11,2
Coffee Table,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",28028,7,2
Wood Lamp,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,22080,9,5
Bench,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",29782,37,4
Drawer,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,27439,27,4
Wall Decor,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",38838,34,1
Wood Chair,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,30177,23,1
Dining Table,Pellentesque viverra pede ac diam.,15460,39,3
Wood Shelf,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,18224,1,5
Bed Frame,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",30759,47,4
Cabinet,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",15529,7,5
Coffee Table,Aliquam non mauris.,34809,36,4
Wood Lamp,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",25431,40,3
Bench,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1948,22,4
Drawer,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,40660,30,1
Wall Decor,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",26663,47,4
Wood Chair,Cras pellentesque volutpat dui.,18109,43,3
Dining Table,"Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",43563,39,1
Wood Shelf,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",27204,17,3
Bed Frame,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",42052,12,1
Cabinet,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",30633,24,1
Coffee Table,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,13384,32,1
Wood Lamp,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",28721,16,5
Bench,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",22014,33,3
Drawer,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,5279,34,2
Wall Decor,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",14855,48,5
Wood Chair,In congue.,19300,50,2
Dining Table,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,45047,41,4
Wood Shelf,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,7195,40,2
Bed Frame,Donec vitae nisi.,4424,8,5
Cabinet,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",34811,37,3
Coffee Table,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,35410,26,4
Wood Lamp,Vestibulum ac est lacinia nisi venenatis tristique.,16243,4,3
Bench,Proin eu mi.,12406,41,1
Drawer,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,14603,9,1
Wall Decor,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",3554,17,5
Wood Chair,Phasellus in felis.,20490,17,5
Dining Table,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",28679,1,5
Wood Shelf,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",21392,34,4
Bed Frame,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",20989,2,3
Cabinet,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",46001,32,4
Coffee Table,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",13590,27,5
